#,Scenario (verbatim from your sheet),Suite file,Test name(s),Steps automated,Expected result,"Actual result (from live runs, 31 Aug 2026)",Status
1,Verify that user can perform 2 Intake to Payments full flow for 1 CXO,testSuiteCxoTwoIntakePayments.spec.js,"one CXO of 100 qty funds two 50-qty intakes, each paid in full","1. Create ONE CXO (line item qty 100 x 2,000 = 200,000) and approve it to Released.
2. Write a private fixture copy per chain, both seeded with that savedCxo and with invoice-number seeds 500 apart. Every save*Code helper rewrites pages/NSEFoundationData.json, so two chains sharing it would open each other's PO/invoice.
3. Reserve the run's whole invoice-number range in the shared fixture UP FRONT — a run that dies mid-flight has still burned its numbers on the server, and the app blocks a duplicate reference by DISABLING Proceed (silent block).
4. CHAIN A - intake (qty 50, linked to the CXO) -> approve to Released -> Process -> Send For Sourcing -> RFX -> approve -> quote (Commercial, INR, unit rate 2,000) -> foreclose -> award -> PR edit+submit -> wait Processed/Completed -> PRC -> PO -> approve -> GRN (received = PO qty) -> approve to Inwarded.
5. CHAIN A invoice: PO -> Create -> Invoice -> upload document, invoice no. + date, period/extra billing No -> FIX -> Item Matching -> tick the chain's GRN -> Submit -> approve every stage until the invoice settles.
6. CHAIN A payment: POST the acknowledgement (EXPENSE_RECORD_NO = invoice code, response_body_reference = invoice number) -> assert Accounted -> + Payment with paid amount = invoice amount, a unique UTR and today's date -> Submit -> Transactions tab shows the payment Completed.
7. CHAIN B - repeat steps 4-6 with a SECOND intake (qty 50) on the SAME CXO, which by now has 100,000 consumed and 100,000 remaining.
8. Assert the two chains are genuinely separate: different intake codes, different invoice codes, different invoice references, different UTRs.
9. Carry the invoice counter forward into the shared fixture, then restore the other fixtures.
NOTE the chains run SEQUENTIALLY (RUN_PARALLEL=false). Parallel is wired up and was tried: the app loses one of two surrogate quotes submitted at the same moment as the same supplier (RFX-26-268 stayed Released at ""0 out of 1 Supplier"" while RFX-26-267 quoted fine).
RESUME POINTS, so a late failure costs only its own segment: S1_CXO_CODE/S1_CXO_ID (reuse a CXO), S1_RESUME_PR_ID (from a Completed PR), S1_RESUME_INVOICE_ID/CODE/NUMBER (from a settled invoice). S1_ONLY=A|B runs one chain.","One CXO funds two complete Intake-to-Payment flows; both invoices reach Accounted and both payments show Completed, on two distinct sets of records.","PASS (48.2 min, 2026-09-10). CXO-FNSE-26-436 (200,000) carried both flows: chain A INT-FNSE-26-448 -> PO-NSEFN-26-254 -> Invoice-FNSE-26-410 paid 100,000 (UTR ...822651); chain B INT-FNSE-26-449 -> PO-NSEFN-26-255 -> Invoice-FNSE-26-412 paid 100,000 (UTR ...846307). All four distinctness assertions held.
Nine defects were fixed to get here. Pre-existing, in shared helpers: (a) approveSourcingUntilReleased inferred ""approved"" from a MISSING Pending Approval badge and returned with the RFX still pending; (b) _waitForApproveButton allowed only 4s per attempt and reported ""Approve not visible"" on pages that did offer it (12s now); (c) completeIntakeSubmissionPopup clicked Proceed while the Process Request dialog was still loading it disabled; (d) waitForPrStatus waited on the TRANSIENT ""Processed"" and burned 54 polls while PR-NSEFN-26-167 sat Completed (accepts an array now); (e) readInvoiceAmount read the page's ""0.00"" placeholder and entered a ZERO payment (polls for non-zero now); (f) the ack POST had no retry and lost a whole chain to one ETIMEDOUT.
Also fixed in this spec: the invoice counter was only carried forward on success, so failed runs burned references the next run then collided with.",PASS
13,Verify that an Invoice is moved to Disputed status when there is a quantity mismatch between the GRN and Invoice for a quantity-based PO.,testSuiteInvoiceDisputed.spec.js,an invoice for more than the GRN received quantity is Disputed,"1. Build the full chain CXO -> ... -> PO, then create a GRN with Received set to 50 against a PO quantity of 100.
   (setGrnReceivedQty edits the AG-grid cell; the clear uses ControlOrMeta+a, since plain Control+a does not select cell contents on macOS.)
2. Approve the GRN to Inwarded.
3. PO -> Create -> Invoice -> Select PO Items -> Proceed.
4. Upload the document, fill the header, and set the invoice quantity to 100.
5. Submit without matching, and poll the detail page for Disputed.",An invoice for a quantity greater than the GRN received quantity is moved to Disputed.,"PASS - verified live 2026-09-08 (3 passed, 30.2 min for 69 + 13). PO-NSEFN-26-227 with GRN INW-NSEFN-26-116 received 50 against a PO quantity of 100 (log: 'Received set to 50 (cell reads ""50"")'); the invoice was raised for 100 and Invoice-FNSE-26-382 (/invoices/1154) read Disputed on the FIRST poll. QA's rule, 2026-09-08, verbatim: ""if GRN is 50 and invoice is for 100 qty then disputed"" / ""if GRN is created and during invoice creation if GRN is not matched then disputed"" / ""if invoice is created without creating a GRN for the PO then Invoice disputed"". EACH TEST BUILDS ITS OWN FRESH PO from the full CXO flow (QA confirmed this is required): the three need DIFFERENT GRN states (none / full / partial), and sharing a PO would hit the known ""2nd invoice sends the full PO qty"" bug, whose SILENT submit block would be indistinguishable from the Disputed-or-not outcome being measured. Invoices are created from CAPP (PO -> Create -> Invoice), the flow that carries the Item Matching step 69 skips. FINDING: Disputed is applied IMMEDIATELY on submit - poll 1 on the detail page - so no approval step is needed, and the Validations popup does NOT refuse an unmatched invoice. TRAP, and it was MY OWN: the afterAll fixture snapshot/restore rolled back invoice.invoiceNumber, which is a MONOTONIC COUNTER, not a fixture. That re-issued a number the server had already consumed and the first run died on the app's duplicate validation (INV-AUTO-119, held by Invoice-FNSE-26-376) with Proceed disabled - the app was entirely correct. Fixed by pages/fixtureGuard.js, which restores fixtures but carries counters FORWARD.",PASS
14,Verify that CXO can be saved then edited and submitted during creation.,testSuiteSaveEditSubmit.spec.js,CXO: save as Draft -> edit the title -> Submit,"1. Open CXO create and fill every mandatory section.
2. Click the icon-only Save control (lucide-save) - NOT Submit.
3. Assert the CXO lands on its overview with status Draft.
4. More -> Edit -> the /cxos/{id}/edit form.
5. Append ' - draft edit' to the title.
6. Submit.
7. Assert status Pending Approval and that the page shows the EDITED title.","A saved CXO can be reopened, edited, and submitted with the edited values.","PASS. Logs: '[CXO] Saved as Draft -> overview' then '[CXO] Draft edited & submitted -> title=""HG Automation CXO - draft edit""'. The submitted CXO carries the edited title.",PASS
15,Verify that Intake can be saved then edited and submitted during creation.,testSuiteSaveEditSubmit.spec.js,Intake: save as Draft -> edit the title -> Submit,"1. Open Intake create and fill every mandatory section.
2. Click the icon-only Save control - NOT Submit.
3. Assert the intake lands on its overview with status Draft.
4. More -> Edit (a Draft has no header Edit button).
5. Append ' - recalled edit' to the title.
6. Submit through the workflow-summary popup.
7. Assert the intake has left Draft.","A saved Intake can be reopened, edited, and submitted.",PASS. Intake leaves Draft after resubmission.,PASS
17,Verify if RFX to Intake is done more than the Intake quantity then error is displayed properly,testSuiteIntakeOverQtyRfx.spec.js,converting more quantity than the intake holds is refused with an error,"1. REUSE the stored CXO - none is created. This flow never submits the RFX and CXO budget is consumed at PR submit, so the stored CXO is never drawn down (QA, 2026-09-11). Saves ~3 min/run and leaves no junk CXO.
2. Create an Intake the normal way - ONE line item, qty 100 - and approve it to Released.
3. Process -> Send For Sourcing -> expand sections.
4. Start a toast RECORDER (MutationObserver) before touching the quantity.
5. Type 150 into the sourcing Quantity cell via attemptSourcingLineItemQty, which REPORTS rather than asserts - setSourcingLineItemQty asserts the cell took the value, which is right when lowering a qty (scenario 6) and self-defeating where the app is supposed to refuse.
6. The grid accepts it silently, so fill the remaining mandatory fields and Submit, then clear the Workflow Summary dialog's own Submit.
7. Assert the recorded error text, and that it echoes requested: 150, approved: 100 and names the line item.","Converting more quantity than the intake holds is refused, and the error names the item and both quantities.","PASS (2.3 min, 2026-09-11). Stored CXO-FNSE-26-435 reused; INT-FNSE-26-461 released at qty 100; asking for 150 is refused on submit with: ""Requested quantity exceeds the quantity approved in the intake for: Manpower (T&M) (requested: 150, approved: 100). Please adjust the quantity and try again."" THE APP IS CORRECT AND ALWAYS WAS - every earlier failure was in the test. Recorded here because the traps are expensive: (a) the sourcing GRID accepts the over-quantity silently (cell goes 100.00 -> 150.00, no complaint) - the guard is on SUBMIT, not the cell; (b) the error is a TRANSIENT bottom-right toast raised after the Workflow Summary Submit click, so a DOM snapshot taken seconds later sees nothing - five runs reported ""no error"" and came within one commit of filing a false defect against working functionality. startErrorRecorder() catches toasts via MutationObserver as they are inserted; (c) ""is anything on screen"" is not an error signal - run 1 matched the destructive-styled ""Cancel"" BUTTON and run 2 matched the ordinary ""Workflow Summary"" approval popup, both reporting a guard the app had not shown; (d) the blocked submit fires NO network request and leaves the dialog open, which is the app holding the line, not a broken submit path. Credit: QA spotted the error on screen and pinpointed it to after the Workflow Summary Submit, which is what turned the diagnosis around.",PASS
18,Verify if Intake is converted to RFX from two different tabs in a span of 5 seconds then the later tab should throw error',testSuiteIntakeDoubleTabRfx.spec.js,the second tab to submit the conversion is rejected,"1. Reuse the stored CXO; create ONE intake (1 line, qty 100) and approve it to Released.
2. Open a SECOND tab in the same browser context, so both tabs share the session exactly as a real user's two tabs would.
3. Take BOTH tabs through Process -> Send For Sourcing -> fill the mandatory fields -> Submit, and PARK each on the open Workflow Summary dialog. submitSourcingEvent() cannot be used here: it clicks Submit and confirms the dialog in one motion, which would commit tab 1 before tab 2 was ever parked. Hence the split into openSourcingWorkflowSummary() and clickWorkflowSummarySubmit().
4. Start a toast recorder in each tab (the messages are transient - see scenario 17).
5. Click Workflow Summary Submit in tab 1, wait 5s, click it in tab 2.
6. Assert the later tab is refused with the real message, that tab 1 actually WON, and that the intake ends with exactly ONE RFX.","The second tab to commit the same conversion is refused with an explanatory error, and only one RFX is created.","PASS (2.5 min, 2026-09-11). Stored CXO-FNSE-26-435; INT-FNSE-26-464 (id 2323). tab1 -> ""Sourcing event created successfully"" and landed on RFX 1541; tab2 five seconds later -> ""One or more line items are already part of an existing RFX"" and landed on NO RFX; the intake Transactions tab lists exactly one RFX (RFX-26-302). THE APP IS CORRECT: the guard is at LINE-ITEM level, which is stricter than an intake-level lock and also covers partial conversions, and the message names the actual cause. TEST TRAPS recorded so they are not rediscovered: (a) /intakes/<id>/quote-requests is NOT a real route - it falls back silently to the intake Overview, which never carries an RFX code. Runs 1 and 2 scraped it and saw [], run 2 retrying the WRONG page ten times. The conversion is listed on the intake's TRANSACTIONS tab, and the winner's own URL (/quote-requests/<id>/overview) is the direct evidence; (b) run 1 asserted ""RFX count <= 1"", which ZERO satisfies - so a page that failed to load or a changed code format would have passed silently. It now asserts EXACTLY one, which fails in both directions (0 = the winning conversion never landed, 2 = both tabs converted); (c) the test also asserts tab 1 recorded ""created successfully"" - without it, a build where BOTH tabs failed would still satisfy ""tab 2 showed an error"" and pass a race that never had a winner.",PASS
19,Verify after click Aerchain logo the V4 Dashboard is displayed,testSuiteDashboard.spec.js,Aerchain logo opens the V4 Dashboard,"1. Log in and navigate away from the dashboard (to /cxos).
2. Read the Aerchain logo's href for the record.
3. Click the logo.
4. Assert the URL is the v4 root and the ""User's Dashboard"" heading is visible.",Clicking the Aerchain logo returns the user to the V4 Dashboard.,"PASS. Log: '[DASH] logo href on /cxos = /cxos'. NOTE: the href attribute always mirrors the CURRENT url (/cxos, /intakes, /cxos/5744/overview) and is therefore misleading, but navigation is driven by the click handler and does reach the dashboard. Do not assert on the href.",PASS
20,Verify that after toggleing the Price in base currency in RFX Analysis tab the prices are displayed in base currency.,testSuiteRFXAnalysis.spec.js,Base currency conversion - USD-quoted RFX (1 test) + Base currency toggle (3 tests),"QA-specified flow (4 Sep 2026), built as a chain so it does not depend on ambient data:
1. Create a CXO and approve it to Released.
2. Create an Intake from it and approve it to Released.
3. Intake > Process > Send for Sourcing; in the Event Information section select BOTH INR and USD in the Currencies field, then submit and approve the RFX to Released.
4. Quote the RFX from CAPP with Preferred Currency = USD.
5. Foreclose the RFX.
6. Analysis tab with Show in base currency OFF: assert amounts are in USD ($).
7. Toggle Show in base currency ON: assert amounts are in INR and no $ remains.",Prices are displayed in base currency when the toggle is on.,"PASS (live 4 Sep 2026) - CONVERSION NOW ACTUALLY PROVED. Chain built RFX-26-251 / 1468 (INR+USD allowed, quoted in USD). Analysis grid: base-currency OFF -> symbols [INR, $]; ON -> [INR] only, the $ is gone. The earlier limitation is RESOLVED. That coverage note (RFX-26-231 is quoted in INR, which IS the base currency, so no figure could change) applied only to the 3 toggle tests on the shared fixture; those still run and still do not assert that values changed, which stays correct for a same-currency RFX. Two implementation traps found and handled: (a) the Currencies options TOGGLE, so clicking the pre-selected INR deselected it and left the RFX USD-only - only missing currencies are clicked now; (b) the trigger summarises as INR - Indian Rupee +1 rather than listing both, so verification accepts that form. Note: this chain creates one CXO, Intake and RFX on UAT per run.",PASS
21,"Verify that when an RFX Award is performed with long text entered in the Justification fields, hovering over the text displays the complete entered text.",testSuiteAwardJustification.spec.js,"300-char justification text is entered, awarded, and shown in full on hover (@S21)","Builds its own data - the recorded blocker was that Justification is empty on every existing award, so the only way to get a truncated value is to award one.
1. CXO -> Intake -> convert to RFX -> quote from CAPP -> FORECLOSE (shared buildRfxToForeclose).
2. Analysis tab -> Award. The form MUST be reached by CLICKING Award: navigating straight to /rfx/<id>/new-award renders an INCOMPLETE form with the ""Remarks"" and ""Attachments"" rows absent and every row below shifted up.
3. Fill Remarks and Initial Quote Remarks with EXACTLY 300 characters each, each carrying a terminal marker so truncation is provable. Rows are resolved by LABEL, never by index - the visible ""#"" column disagrees with the DOM row id and the ids shift between renders.
4. Fill the Allocated Quantity from Pending Awarded Quantity, as the other chains do.
5. Submit the award, confirm its Workflow Summary, clear its approvals (reassigning the approver when the stage is not assigned to this login).
6. On the resulting award page, hover each field and assert: the reveal carries the complete 300 chars, and the cell is genuinely CLIPPED (otherwise the value would be readable without hovering and the check proves nothing). Scrollability is asserted only where the reveal actually overflows.",Long Justification text is stored in full and the complete value is displayed on hover.,"PASS - automated and verified 2026-09-07 on RFX 1478 / award 704 (2 passed). Remarks and Initial Quote Remarks each accepted 300 chars; both cells clip the value (scrollWidth 2018 and 1988 vs clientWidth 662) and hovering reveals all 300 characters. MEASURED: the hover tooltip is a 360x141 box reporting scrollHeight 141 == clientHeight 141 - it WRAPS the whole value and needs NO scrolling at 300 chars, so the scroll branch is dormant. Forcing it would need roughly 1500+ chars. CAVEAT: the Remarks tooltip node reports 601 chars for the 300-char value because the container accumulates its child text, so exact-match is proven for Initial Quote Remarks (exact=true) but not for Remarks. FOUND EN ROUTE, SHARED FIX: clickSubmit() waited only 5s for the Workflow Summary confirmation modal, which renders only after the server analyses the approval conditions. The modal was on screen while the caller was already polling for a URL change, so the CXO never submitted and the chain died at step one. Now polls 30s for the dialog OR an early navigation and requires the dialog to close. This affects EVERY chain-based suite, not just 21. CAVEAT: verified in two parts. The full chain run drove CXO -> ... -> award and BOTH hover assertions passed, but the test then died on a summary console.log referencing a field the helper no longer returns; the corrected code plus the tightened reveal-node selection was then verified via S21_AWARD_URL against RFX 1478 / award 704 (2 passed, 24.7s). The complete path has not yet run end to end in one piece.",PASS
22,Verify if line items are deleted from Quoted RFX during amned then that item will be displayed in the Analysis tab of RFX by taggleing the Show deleted item toggle.,testSuiteRFXAnalysis.spec.js,Deleted items toggle (2 tests),"1. Open the RFX Analysis tab.
2. Assert 'Show deleted items' starts unchecked.
3. Toggle it and assert it becomes checked.
4. Count grid amounts before and after enabling it.
5. Assert the count never decreases; restore the toggle.",Deleted line items become visible when the toggle is enabled.,"PASS (2/2). Revealing deleted rows can only add to the grid, never subtract - that is what is asserted. The sample RFX has no deleted line items, so the row count is unchanged.",PASS
23,Verify that Supplier configurations in RFX are displaying the data of configured supplier accordingly,testSuiteRFXAnalysis.spec.js,View configuration (2 tests),"1. Open the RFX Analysis tab.
2. Open 'Select View Type' and list the saved views.
3. Assert the built-in 'Default' view is present.
4. Assert the supplier-configuration (user-cog) and column-configuration (columns3-cog) controls are visible.",Supplier configuration in the RFX displays the configured supplier's data.,"PASS (2/2). View types offered: Default, Custom View, test 01.",PASS
24,Verify all the files can be downloaded from the RFX analysis tab,testSuiteRFXAnalysis.spec.js,Downloads (5 tests),"1. Open the RFX Analysis tab.
2. Open the download dropdown and assert all four exports are offered.
3. For each of Download Analysis / Versions / Questionnaire: click it, capture the download event, save the file and assert it is non-empty.
4. For Download Benchmarks: accept EITHER a file OR a clear on-screen reason.",All files can be downloaded from the RFX Analysis tab.,"PASS (5/5). Files: RFX-26-231_Analysis_20260831.xlsx (35,273 B); Quote-version-RFX-26-231.xlsx (9,657 B); Questionnaire-response-RFX-26-231.xlsx (7,576 B). Benchmarks returns HTTP 400 {""success"":0,""reason"":""No benchmark fields configured for download""} and the app SHOWS that text in a toast - correct behaviour for an RFX with no benchmark fields, not a defect.",PASS
27,Verify that Quote versions can be compared in the RFX analysis tab.,testSuiteRFXAnalysis.spec.js,"Compare panel exposes supplier, version and field selectors","1. Open the RFX Analysis tab.
2. Click Compare.
3. Assert the inline panel exposes the Supplier selector, the Version(s) selector, and the note 'Select up to 2 versions of a single field'.",Quote versions can be compared in the Analysis tab.,"PASS. The Compare panel renders INLINE on the analysis page, not as a dialog. The 2-version cap is the rule the scenario is really about, so it is asserted explicitly.",PASS
28,Verify that parent intake of the can be accessed from the RFX analysis tab.,testSuiteQaClarified.spec.js,the parent Intake is reachable from the RFX Transactions tab,"1. Open the saved RFX.
2. Switch to its Transactions tab.
3. Assert all three sections render: Linked Auctions, Linked Negotiations, Linked Intakes.
4. Assert Linked Intakes has at least one row and every listed code starts with INT-.",The parent intake can be accessed from the RFX.,"PASS. RFX-26-231 Transactions tab lists parent intake INT-FNSE-26-383. Entry point clarified by QA (the Transactions tab, not the Analysis tab). The same tab holds the Linked Auctions section that scenario 32 depends on - currently empty until an RFX is converted to an auction.",PASS
30,Verify that Negotiations can be performed for the RFX.,testSuiteRfxCollab.spec.js,a quoted RFX offers Negotiation and opens the negotiation request form / an awarded RFX does not offer Negotiation,"1. Find a Quoted RFX whose Subject contains ""HG Automation"" on the v4 listing.
2. Open it and switch to the Analysis tab (the trigger is a <button>, NOT role=tab).
3. Assert ""Negotiation"" is among the analysis actions.
4. Click it and assert the route is /negotiations and the new-negotiation-request form renders with a template picker and Submit.
5. CONTRAST: repeat on an Awarded RFX and assert Negotiation is absent, so step 3 cannot pass merely because the button is always there.
6. Do not submit - sending a negotiation alters RFX state.",Negotiations can be raised for the RFX.,"PASS. RFX-26-239 (Quoted) exposes Negotiation + Award and opens /quote-requests/1428/negotiations with Select template, Select Negotiation Currency and Submit. RFX-26-241 (Awarded) exposes neither - confirming the earlier ""none on the sample RFX"" note was a STATE issue, not a missing feature (the saved sample RFX-26-231 is Awarded). COVERAGE LIMIT: the negotiation is not SUBMITTED, since that alters RFX state - completing it needs a QA-designated throwaway RFX, as was done for 147 and 98.",PASS
31,Verify Suppliers can be reminded in bulk for quoting the RFX.,testSuiteQaClarified.spec.js,QA-clarified scenarios > suppliers can be reminded in bulk to quote an RFX @S34,Open the RFX listing; open the newest RFX whose status is Released or Quoted; assert the supplier section exposes a Bulk Reminder control; click it and capture the send request.,A reminder is sent to every supplier on the RFX.,"PASS (in-app half) - RFX-26-233 (Quoted) exposes Bulk Reminder; clicking it fires POST /api/capp/v4/quote-requests/1396/send-reminder-to-all-suppliers -> HTTP 200. The app shows NO toast, so the API call is the only observable signal. Confirming the supplier actually received the mail is BLOCKED by Gmail 2FA.",PARTIAL - mailbox check blocked
32,Verify Evalustion present in the RFX can be evalaluated.,testSuiteRfxEvaluation.spec.js,"convert a Released intake to an RFX carrying an Evaluation / quote the RFX answering the evaluated section, then foreclose / score the evaluation and see it recorded","1. Find a Released intake on /intakes and open it.
2. Process -> Send For Sourcing; fill Payment Terms, both bid due dates and the expected delivery date; add the supplier.
3. Submit and approve the sourcing event until it is Released.
4. Add an Evaluation: label, Section 'RFP T&C - Letter of Commitment', Rating Type Rating, Approval Type Any Approver, Evaluator NSEF Support Admin.
5. Assert it appears on the Evaluations tab.
6. Submit Quote -> Commercial Quote; set currency and unit rate; ANSWER every question in the evaluated section; submit.
7. Foreclose the RFX.
8. Evaluations tab -> expand -> Evaluate -> for EACH answer hover it, click the 5th star, type a reason, click that answer's tick -> then the tick on the evaluation's header line.
9. Assert every answer is scored and green, the status is Completed, and the Activity Log records 'Evaluation has been submitted'.",An evaluation present in the RFX can be evaluated.,"PASS end to end (live 2026-09-02, 4.1 min): built RFX-26-242 from INT-FNSE-26-374, created the evaluation, answered 4 questions, quoted, foreclosed, rated all 3 answers 5/5 with reasons -> submit returned 200 -> status Completed, 3/3 answers green, Activity Log shows 'Evaluation has been submitted by NSEF Support Admin'.
DEFECT-SHAPED BEHAVIOUR WORTH KNOWING: per-answer ticks save NOTHING to the server - ratings are held in the browser and the header tick posts them all at once. If one star click is swallowed the header tick still submits the rest, and the evaluation lands on 'Partially Completed' with that answer left uncoloured and no warning. Reproduced on RFX-26-235 (answer 1 lost, answers 2-3 saved). The test now confirms each star click by waiting for the comment popover, then RELOADS after submitting and re-rates anything the server did not keep.
Detection traps: a scored answer still shows its answer text ('Yes'), and hovering an UNSCORED row renders all five stars filled - so neither text nor star fill can tell scored from unscored. The only honest marker is the lucide-user-round-check icon (and the green cell) the app adds to a scored answer.
NOTE: QA described adding the Evaluation on the CONVERSION page - that control exists ('Add evaluation', lower-case e) but is an INLINE click-to-edit grid; the RFX page offers the same thing as a clean Create Evaluation dialog and is used instead, still before the RFX is quoted.",PASS
33,Verify after foreclosing the RFX the deadline can be extended.,testSuiteRFXAnalysis.spec.js,a foreclosed RFX can have its deadline extended and quoting reopens,"1. List Quoted RFXs and pick the first that is already FORECLOSED (More offers Convert to Auction and no Foreclose).
2. Assert Extend Deadline is offered on it.
3. Read the current Quote Deadline and how many supplier rows offer a quote action.
4. Extend Deadline -> set BOTH deadlines to a day in the current month -> remarks -> Update.
5. Assert the save POST update-deadlines-for-quote succeeded.
6. Reload; assert the header deadline changed to the chosen date and a supplier row offers Submit/Update Quote again.",After foreclosing the RFX the deadline can be extended.,"PASS (live 2026-09-02). RFX-26-222 moved 2026-12-15 -> 2026-09-07 and RFX-26-235 2026-12-15 -> 2026-09-07; both returned success:1 and quoting stayed available. Findings: quoting is gated on the DEADLINE, not on the foreclosure - RFX-26-233 with a past deadline showed no quote action at all, and extending it to 2026-09-25 brought 'Update Quote' back. The calendar opens on the CURRENT month even when the deadline is months away and allows any date from today on, INCLUDING one earlier than the deadline already set (what QA called 'the date prior to the selected date'). Both date triggers must be changed and the calendar popper closed before Update, or the click is swallowed and the change silently lost.",PASS
34,Verify that buyer can add comments for the other user of the RFX.,testSuiteRfxCollab.spec.js,the buyer can post a comment mentioning another user,"1. Open a Quoted ""HG Automation"" RFX.
2. Open the Activity Log (icon-only trigger, matched by svg.lucide-clock) and switch to the Comments tab.
3. Assert the composer rendered.
4. Type ""@"", pick another user from the mention list, then type a timestamped comment.
5. Send via the send button (not Enter, which is also the textarea newline key).
6. Assert the comment text appears, the empty state is gone, and the mentioned user is shown.",The buyer can add a comment addressed to another user and it appears on the RFX.,"PASS on RFX-26-239. Posted ""HG Automation comment 30957026"" mentioning NSEIL Support User; the comment and the mention both render in the Comments tab and the ""No comments yet"" empty state cleared. The mention list carries no role=option and no listbox - names are plain text nodes, so the target is clicked by text. NOTE: this test posts a REAL comment each run (stamped so automation-authored ones are obvious).",PASS
35,Verify Activities and comments can be downloaded from the Activity timeline of the CXO.,testSuiteActivityTimeline.spec.js,CXO: Activity Log panel + both downloads + Comments filename (5 tests),"1. Open the saved CXO.
2. Click the clock icon to open the Activity Log sheet; assert it has entries.
3. Open the download dropdown and assert it offers both 'Download Activities' and 'Download Comments'.
4. Type a comment in the Add comment field and click the blue send arrow beside it; wait for it to appear in the feed.
5. Download each export, assert non-empty, and assert the Comments filename has no 'undefined' segment but does contain 'Conversations'.",Activities and comments can be downloaded from the CXO Activity timeline.,"PASS (5/5) on 4 Sep 2026. Comment posted via the Activity Log field + blue send arrow, then Comments exported as ActivityTimeline_Conversations_20260904_154609.xlsx (7,233 B); Activities as ActivityTimeline_Transaction Events_20260904_154556.xlsx. The earlier 'undefined' filename was NOT a defect - retracted per QA 4 Sep 2026: with no comments on the transaction the export has no conversation to be named after. Add a comment first and the filename is correct.",PASS
36,Verify Activities and comments can be downloaded from the Activity timeline of the Intake.,testSuiteActivityTimeline.spec.js,Intake: Activity Log panel + both downloads + Comments filename (5 tests),"1. Open the saved Intake.
2. Click the clock icon to open the Activity Log sheet; assert it has entries.
3. Open the download dropdown and assert it offers both 'Download Activities' and 'Download Comments'.
4. Type a comment in the Add comment field and click the blue send arrow beside it; wait for it to appear in the feed.
5. Download each export, assert non-empty, and assert the Comments filename has no 'undefined' segment but does contain 'Conversations'.",Activities and comments can be downloaded from the Intake Activity timeline.,"PASS (5/5) on 4 Sep 2026. Comments exported as ActivityTimeline_Conversations_20260904_154710.xlsx (7,236 B); Activities as ActivityTimeline_Transaction Events_20260904_154656.xlsx (7,336 B). Same retraction as 35.",PASS
37,Verify Activities and comments can be downloaded from the Activity timeline of the RFX.,testSuiteActivityTimeline.spec.js,RFX: Activity Log panel + both downloads + Comments filename (5 tests),"1. Open the saved RFX (comments half uses a non-awarded RFX - awarded ones cannot be commented on).
2. Click the clock icon to open the Activity Log sheet; assert it has entries.
3. Open the download dropdown and assert it offers both 'Download Activities' and 'Download Comments'.
4. Type a comment in the Add comment field and click the blue send arrow beside it; wait for it to appear in the feed.
5. Download each export, assert non-empty, and assert the Comments filename has no 'undefined' segment but does contain 'Conversations'.",Activities and comments can be downloaded from the RFX Activity timeline.,"PASS (5/5) on 4 Sep 2026. Comments exported as ActivityTimeline_Conversations_20260904_154822.xlsx (7,021 B); Activities as ActivityTimeline_Transaction Events_20260904_154756.xlsx (7,521 B). NOTE: the comments half runs against RFX-26-245 / 1462 (Released), NOT savedSourcingEvent RFX-26-243 / 1458 (Awarded). An AWARDED RFX cannot be commented on at all - its Activity Log shows the filter chips and feed but no comment field (probed live: zero inputs in the dialog), so the export has nothing to be named after and returns ActivityTimeline_undefined_<ts>.xlsx. That is exactly the original 31 Aug observation, and it is by design, not a defect. Confirmed across the listing: every Awarded RFX lacks the field; Released/Quoted ones expose it.",PASS
38,Verify that document can be regenerated and downloaded from the view page of Requisition,testSuiteCrossModuleDocs.spec.js,Requisition: Regenerate Document / Download Document (2 tests),"1. Open the Requisition listing and open the first row.
2. Read the More menu to confirm the actions exist.
3. Regenerate Document -> assert POST .../regenerate-document returns 2xx.
4. Regenerate again, then Download -> capture the resulting document and assert it is non-empty.",The document can be regenerated and downloaded from the Requisition view page.,"PASS (2/2). Log: '[Requisition] document via tab: requisition-1102-2026-08-31_08-29-45.pdf (62,350 bytes)'. NOTE: Regenerate shows NO toast - the only signal is the POST. Download opens the PDF in a NEW TAB via an S3 presigned URL; it does not fire a browser download event.",PASS
40,Verify that document can be regenerated and downloaded from the view page of Purchase Order,testSuiteQaClarified.spec.js / testSuiteCrossModuleDocs.spec.js,the PO document downloads from General Details / Purchase Order: Regenerate Document,"1. Open a PO in any status except Cancelled.
2. Assert the General Details section shows a 'PO Document' field with a Download link.
3. Click Download and capture either a download event or a new document tab.
4. Separately, Regenerate Document and assert the POST returns 2xx.",The document can be regenerated and downloaded from the PO view page.,"PASS (both halves). Regenerate: POST .../regenerate-po-document -> 200 (note the path differs from the Requisition's .../regenerate-document). Download: clarified by QA - it is NOT in the More menu, it is a 'PO Document' field in the GENERAL DETAILS section, present on every status except Cancelled. Verified on PO-NSEFN-26-208/1: opens the PDF in a new tab from S3 (po-pdfs/PO-NSEFN-26-208/1_...pdf). The anchor has no href - it is JS-driven.",PASS
